Best model: dsc0.197.pth.tar
Trans diff: 0.7782, Raw diff: 0.4923
Trans diff: 0.6914, Raw diff: 0.5249
Trans diff: 0.7366, Raw diff: 0.5249
Trans diff: 0.8614, Raw diff: 0.6272
Trans diff: 0.8615, Raw diff: 0.6272
Trans diff: 0.6798, Raw diff: 0.4064
Trans diff: 0.6348, Raw diff: 0.4064
Trans diff: 0.7953, Raw diff: 0.5033
Trans diff: 0.8043, Raw diff: 0.5033
Trans diff: 0.7723, Raw diff: 0.5250
Trans diff: 0.6908, Raw diff: 0.5250
Trans diff: 0.7922, Raw diff: 0.5133
Trans diff: 0.7632, Raw diff: 0.5133
Trans diff: 0.7919, Raw diff: 0.5687
Trans diff: 0.8192, Raw diff: 0.5687
Trans diff: 0.7849, Raw diff: 0.5850
Trans diff: 0.7698, Raw diff: 0.5850
Trans diff: 0.6365, Raw diff: 0.3500
Trans diff: 0.6820, Raw diff: 0.3500
Trans diff: 0.5949, Raw diff: 0.4571
Trans diff: 0.6652, Raw diff: 0.4571
Trans diff: 0.6770, Raw diff: 0.4033
Trans diff: 0.6501, Raw diff: 0.4033
Trans diff: 0.7379, Raw diff: 0.5499
Trans diff: 0.7716, Raw diff: 0.5499
Trans diff: 0.7747, Raw diff: 0.4874
Trans diff: 0.7780, Raw diff: 0.4874
Trans diff: 0.7304, Raw diff: 0.6310
Trans diff: 0.6868, Raw diff: 0.6310
Trans diff: 0.7027, Raw diff: 0.4039
Trans diff: 0.6951, Raw diff: 0.4039
Trans diff: 0.8048, Raw diff: 0.4988
Trans diff: 0.8163, Raw diff: 0.4988
Trans diff: 0.7976, Raw diff: 0.4611
Trans diff: 0.7905, Raw diff: 0.4611
Trans diff: 0.6827, Raw diff: 0.3914
Trans diff: 0.7165, Raw diff: 0.3914
Trans diff: 0.5304, Raw diff: 0.4597
Trans diff: 0.6551, Raw diff: 0.4597
Trans diff: 0.8162, Raw diff: 0.5116
Trans diff: 0.8142, Raw diff: 0.5116
Trans diff: 0.5363, Raw diff: 0.2659
Trans diff: 0.4724, Raw diff: 0.2659
Trans diff: 0.8190, Raw diff: 0.5728
Trans diff: 0.8015, Raw diff: 0.5728
Trans diff: 0.8072, Raw diff: 0.5478
Trans diff: 0.8260, Raw diff: 0.5478
Trans diff: 0.7890, Raw diff: 0.4730
Trans diff: 0.7983, Raw diff: 0.4730
Trans diff: 0.7704, Raw diff: 0.5423
Trans diff: 0.7309, Raw diff: 0.5423
Trans diff: 0.7101, Raw diff: 0.4554
Trans diff: 0.6615, Raw diff: 0.4554
Trans diff: 0.7390, Raw diff: 0.6031
Trans diff: 0.6912, Raw diff: 0.6031
Trans diff: 0.8328, Raw diff: 0.5527
Trans diff: 0.8073, Raw diff: 0.5527
Trans diff: 0.6882, Raw diff: 0.5032
Trans diff: 0.6139, Raw diff: 0.5032
Trans diff: 0.7200, Raw diff: 0.4237
Trans diff: 0.6715, Raw diff: 0.4237
Trans diff: 0.7943, Raw diff: 0.5581
Trans diff: 0.8020, Raw diff: 0.5581
Trans diff: 0.8162, Raw diff: 0.5578
Trans diff: 0.8227, Raw diff: 0.5578
Trans diff: 0.8079, Raw diff: 0.5858
Trans diff: 0.7966, Raw diff: 0.5858
Trans diff: 0.5977, Raw diff: 0.4456
Trans diff: 0.5271, Raw diff: 0.4456
Trans diff: 0.7067, Raw diff: 0.4429
Trans diff: 0.7710, Raw diff: 0.4429
Trans diff: 0.7699, Raw diff: 0.5910
Trans diff: 0.7982, Raw diff: 0.5910
Trans diff: 0.6943, Raw diff: 0.5036
Trans diff: 0.6226, Raw diff: 0.5036
Trans diff: 0.6730, Raw diff: 0.4105
Trans diff: 0.6122, Raw diff: 0.4105
Trans diff: 0.7519, Raw diff: 0.5536
Trans diff: 0.7917, Raw diff: 0.5536
Trans diff: 0.7620, Raw diff: 0.4056
Trans diff: 0.7715, Raw diff: 0.4056
Trans diff: 0.7511, Raw diff: 0.4827
Trans diff: 0.7503, Raw diff: 0.4827
Deformed DSC: 0.736 +- 0.088, Affine DSC: 0.491 +- 0.081
deformed det: 0, std: 0
